timestamp_ms,timestamp,force_x,force_y,force_z,torque_x,torque_y,torque_z,eth_force_x,eth_force_y,eth_force_z,eth_torque_x,eth_torque_y,eth_torque_z,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,R1,R2,R3,R4,R5,R6
1753699228248,2025-07-28 12:40:28.248882,5.2174544,3.019687,-1.251277,-0.27949867,0.46740472,-0.17113644,nan,nan,nan,nan,nan,nan,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,7.0,7.0,8.0,13.0,4.0,9.0
1753699228250,2025-07-28 12:40:28.250492,5.180428,3.34903,-1.6201651,-0.28124484,0.46877363,-0.17220664,nan,nan,nan,nan,nan,nan,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,7.0,7.0,8.0,13.0,4.0,9.0
1753699228252,2025-07-28 12:40:28.252324,5.4864793,3.3090606,-1.5830646,-0.27878696,0.46541935,-0.17737076,nan,nan,nan,nan,nan,nan,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,7.0,7.0,8.0,13.0,4.0,9.0
1753699228254,2025-07-28 12:40:28.254871,5.4364457,3.0662174,-1.4846853,-0.2785501,0.46796212,-0.17250928,nan,nan,nan,nan,nan,nan,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,64.0,57.0,47.0,53.0,62.0,57.0
1753699228256,2025-07-28 12:40:28.256719,5.32201,3.1896946,-1.401925,-0.27628368,0.46727678,-0.1705433,nan,nan,nan,nan,nan,nan,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,64.0,57.0,47.0,53.0,62.0,57.0
1753699228258,2025-07-28 12:40:28.258188,5.6418147,3.1228206,-1.4131953,-0.27752015,0.4713829,-0.17539313,nan,nan,nan,nan,nan,nan,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,9.0,5.0,10.0,11.0,18.0,9.0
1753699228260,2025-07-28 12:40:28.260816,5.0161695,3.1319804,-1.5941753,-0.27417892,0.46207353,-0.17346665,nan,nan,nan,nan,nan,nan,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,48.0,57.0,60.0,78.0,51.0,59.0
1753699228262,2025-07-28 12:40:28.262341,5.2035346,3.2606747,-1.6026535,-0.27734303,0.46625358,-0.17370968,-1.3593928813934326,1.5995572805404663,-0.9743992686271667,-0.07776319980621338,-0.07286174595355988,0.002025399822741747,0.40883842,0.13092482,0.40078032,0.6850686,0.05742385,0.234033,-0.6874679,13.0,16.0,10.0,10.0,12.0,4.0
1753699228264,2025-07-28 12:40:28.264257,5.174422,2.9423373,-1.4445795,-0.2773009,0.46422952,-0.17146608,-1.3593928813934326,1.5995572805404663,-0.9743992686271667,-0.07776319980621338,-0.07286174595355988,0.002025399822741747,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,52.0,53.0,50.0,63.0,65.0,49.0
1753699228266,2025-07-28 12:40:28.266684,5.197693,3.248794,-1.5796044,-0.276015,0.46473238,-0.17576844,-1.3593928813934326,1.5995572805404663,-0.9743992686271667,-0.07776319980621338,-0.07286174595355988,0.002025399822741747,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,4.0,13.0,9.0,14.0,16.0,12.0
1753699228268,2025-07-28 12:40:28.268475,5.4418936,2.893995,-1.5169008,-0.27958417,0.46739957,-0.17107186,-1.3593928813934326,1.5995572805404663,-0.9743992686271667,-0.07776319980621338,-0.07286174595355988,0.002025399822741747,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,46.0,51.0,54.0,74.0,60.0,51.0
1753699228270,2025-07-28 12:40:28.270338,5.3520994,3.335145,-1.5665294,-0.28203106,0.46502057,-0.17046826,-1.3593928813934326,1.5995572805404663,-0.9743992686271667,-0.07776319980621338,-0.07286174595355988,0.002025399822741747,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,18.0,12.0,5.0,14.0,14.0,10.0
1753699228272,2025-07-28 12:40:28.272827,5.0566797,3.1180158,-1.66819,-0.2766878,0.46383342,-0.16806372,-1.3519598245620728,1.5618795156478882,-1.0183942317962646,-0.07837110757827759,-0.07331402599811554,0.0018549716332927346,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,23.0,10.0,6.0,13.0,5.0,7.0
1753699228274,2025-07-28 12:40:28.274386,5.374744,3.1145954,-1.6011593,-0.2786101,0.4666692,-0.17690094,-1.3519598245620728,1.5618795156478882,-1.0183942317962646,-0.07837110757827759,-0.07331402599811554,0.0018549716332927346,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,9.0,23.0,14.0,12.0,19.0,7.0
1753699228276,2025-07-28 12:40:28.276151,5.5332932,3.2735415,-1.6262429,-0.28033167,0.47086906,-0.17561355,-1.3519598245620728,1.5618795156478882,-1.0183942317962646,-0.07837110757827759,-0.07331402599811554,0.0018549716332927346,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,18.0,8.0,7.0,15.0,15.0,15.0
1753699228278,2025-07-28 12:40:28.278671,5.088918,3.182474,-1.7352961,-0.2756887,0.46725604,-0.17447878,-1.3519598245620728,1.5618795156478882,-1.0183942317962646,-0.07837110757827759,-0.07331402599811554,0.0018549716332927346,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,7.0,10.0,13.0,14.0,13.0,4.0
1753699228280,2025-07-28 12:40:28.280482,5.231186,3.1689274,-1.8606251,-0.2732039,0.4670738,-0.17887546,-1.3519598245620728,1.5618795156478882,-1.0183942317962646,-0.07837110757827759,-0.07331402599811554,0.0018549716332927346,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,41.0,45.0,58.0,62.0,58.0,46.0
1753699228282,2025-07-28 12:40:28.282590,5.178122,3.078006,-1.636404,-0.27736586,0.46593207,-0.17387296,-1.3431116342544556,1.574708342552185,-0.9747540354728699,-0.07801312208175659,-0.07304884493350983,0.0016865289071574807,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,19.0,27.0,7.0,11.0,7.0,11.0
1753699228284,2025-07-28 12:40:28.284648,5.146002,3.1831274,-1.5593317,-0.2773874,0.46667102,-0.17104311,-1.3431116342544556,1.574708342552185,-0.9747540354728699,-0.07801312208175659,-0.07304884493350983,0.0016865289071574807,0.40884084,0.13091713,0.40078318,0.6850638,0.057417206,0.23403808,-0.6874715,8.0,15.0,8.0,11.0,15.0,11.0
1753699228286,2025-07-28 12:40:28.286498,5.52358,3.0870676,-1.5356919,-0.27914542,0.46908048,-0.17672984,-1.3431116342544556,1.574708342552185,-0.9747540354728699,-0.07801312208175659,-0.07304884493350983,0.0016865289071574807,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,28.0,38.0,34.0,55.0,50.0,40.0
1753699228288,2025-07-28 12:40:28.288174,5.0513062,2.9547062,-1.515826,-0.276204,0.4633192,-0.17074098,-1.3431116342544556,1.574708342552185,-0.9747540354728699,-0.07801312208175659,-0.07304884493350983,0.0016865289071574807,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,28.0,38.0,34.0,55.0,50.0,40.0
1753699228290,2025-07-28 12:40:28.290697,5.519054,3.1176388,-1.5311978,-0.27757326,0.46821925,-0.17055614,-1.3431116342544556,1.574708342552185,-0.9747540354728699,-0.07801312208175659,-0.07304884493350983,0.0016865289071574807,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,28.0,38.0,34.0,55.0,50.0,40.0
1753699228292,2025-07-28 12:40:28.292565,5.2906427,2.9196198,-1.4662664,-0.27734247,0.46447575,-0.16975288,-1.3726202249526978,1.576306700706482,-0.9950386881828308,-0.077172189950943,-0.07270507514476776,0.0018307497957721353,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,28.0,38.0,34.0,55.0,50.0,40.0
1753699228294,2025-07-28 12:40:28.294234,5.073152,2.7766383,-1.4506707,-0.27229294,0.46445605,-0.17289782,-1.3726202249526978,1.576306700706482,-0.9950386881828308,-0.077172189950943,-0.07270507514476776,0.0018307497957721353,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,28.0,38.0,34.0,55.0,50.0,40.0
1753699228296,2025-07-28 12:40:28.296804,5.263911,2.897758,-1.5694603,-0.2761933,0.46306914,-0.1689425,-1.3726202249526978,1.576306700706482,-0.9950386881828308,-0.077172189950943,-0.07270507514476776,0.0018307497957721353,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,11.0,11.0,13.0,13.0,6.0,10.0
1753699228298,2025-07-28 12:40:28.298471,5.530052,2.922539,-1.4055538,-0.27485427,0.47035968,-0.17825872,-1.3726202249526978,1.576306700706482,-0.9950386881828308,-0.077172189950943,-0.07270507514476776,0.0018307497957721353,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,11.0,11.0,13.0,13.0,6.0,10.0
1753699228300,2025-07-28 12:40:28.300716,5.3946733,2.9240625,-1.6172421,-0.27348658,0.4666614,-0.1764043,-1.3726202249526978,1.576306700706482,-0.9950386881828308,-0.077172189950943,-0.07270507514476776,0.0018307497957721353,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,11.0,11.0,13.0,13.0,6.0,10.0
1753699228302,2025-07-28 12:40:28.302755,5.1546607,2.76652,-1.5516974,-0.27235427,0.4667929,-0.17401701,-1.3586851358413696,1.524354338645935,-0.9975144267082214,-0.07895153760910034,-0.07289381325244904,0.002004683483392,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,11.0,11.0,13.0,13.0,6.0,10.0
1753699228304,2025-07-28 12:40:28.304551,5.13034,2.8139677,-1.44204,-0.27253926,0.46782133,-0.17115709,-1.3586851358413696,1.524354338645935,-0.9975144267082214,-0.07895153760910034,-0.07289381325244904,0.002004683483392,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,11.0,11.0,13.0,13.0,6.0,10.0
1753699228306,2025-07-28 12:40:28.306561,4.738647,3.0150347,-1.379345,-0.27587697,0.46271312,-0.17738357,-1.3586851358413696,1.524354338645935,-0.9975144267082214,-0.07895153760910034,-0.07289381325244904,0.002004683483392,0.4088513,0.13091442,0.40078425,0.6850714,0.05740363,0.2340266,-0.68746895,41.0,42.0,50.0,63.0,41.0,42.0
